param_type,sim_id,coverage_95,coverage_90
abc,184,0.9833333333333333,0.9833333333333333
lstm,184,1,1
abc,185,0.9833333333333333,0.9666666666666667
lstm,185,0.9833333333333333,0.9833333333333333
abc,186,0.9166666666666666,0.9166666666666666
lstm,186,0.8833333333333333,0.8833333333333333
abc,187,0.9666666666666667,0.95
lstm,187,0.9666666666666667,0.9666666666666667
abc,188,0.9833333333333333,0.9833333333333333
lstm,188,0.9833333333333333,0.9833333333333333
abc,189,0.9,0.9
lstm,189,0.9166666666666666,0.9166666666666666
abc,190,1,0.9833333333333333
lstm,190,0.9333333333333333,0.9166666666666666
abc,191,1,1
lstm,191,1,0.9833333333333333
abc,192,0.9666666666666667,0.95
lstm,192,0.9833333333333333,0.9833333333333333
abc,193,0.9833333333333333,0.9833333333333333
lstm,193,0.8833333333333333,0.8833333333333333
abc,194,0.9,0.9
lstm,194,0.9166666666666666,0.9166666666666666
abc,195,0.8666666666666667,0.8666666666666667
lstm,195,0.8666666666666667,0.8666666666666667
abc,196,0.8833333333333333,0.8833333333333333
lstm,196,0.55,0.43333333333333335
abc,197,1,1
lstm,197,0.9666666666666667,0.9666666666666667
abc,198,0.9166666666666666,0.9
lstm,198,0.9666666666666667,0.9666666666666667
abc,199,1,1
lstm,199,1,1
abc,200,0.85,0.85
lstm,200,0.31666666666666665,0.31666666666666665
abc,201,0.85,0.85
lstm,201,0.8333333333333334,0.8
abc,202,0.26666666666666666,0.25
lstm,202,0.7666666666666667,0.75
abc,203,0.9666666666666667,0.9666666666666667
lstm,203,0.9833333333333333,0.9666666666666667
abc,204,1,1
lstm,204,1,0.9833333333333333
abc,205,0.7666666666666667,0.75
lstm,205,0.4666666666666667,0.4666666666666667
abc,206,1,1
lstm,206,0.6,0.5833333333333334
abc,207,0.9833333333333333,0.9833333333333333
lstm,207,0.7166666666666667,0.6833333333333333
abc,208,0.9666666666666667,0.9666666666666667
lstm,208,0.95,0.95
abc,209,0.95,0.95
lstm,209,0.9333333333333333,0.9333333333333333
abc,210,0.95,0.95
lstm,210,0.9,0.9
abc,211,1,1
lstm,211,1,1
abc,212,0.9833333333333333,0.9833333333333333
lstm,212,0.9833333333333333,0.9833333333333333
abc,213,0.9833333333333333,0.9833333333333333
lstm,213,0.75,0.75
abc,214,0.9,0.9
lstm,214,0.9333333333333333,0.9333333333333333
abc,215,0.1,0.1
lstm,215,0.5166666666666667,0.5166666666666667
abc,216,1,0.9833333333333333
lstm,216,1,1
