param_type,sim_id,mean_bias,mean_abs_bias,mean_relative_bias,rmse
lstm,41,-5.533333333333333,82.53333333333333,5.136010427103366,116.71689394999052
abc,42,-1.8166666666666667,9.783333333333333,0.06474879605451093,17.926237753639217
lstm,42,-6.066666666666666,27.466666666666665,-0.17834612708400077,48.47370421166511
abc,43,-1.25,24.35,0.5876992702381976,31.44757542323414
lstm,43,-34.7,49.43333333333333,1.035311728186852,71.77859476659226
abc,44,1.05,7.016666666666667,0.25312434158650376,11.527503343453574
lstm,44,-8.716666666666667,53.15,4.578243947513805,70.67472438337957
abc,45,-2.25,12.116666666666667,-0.1034121758624822,23.92035395501775
lstm,45,4.95,47.35,0.8799775224514651,86.49884392291032
abc,46,-1.5,15.266666666666667,-0.2577440245338877,34.760609891082176
lstm,46,1.3333333333333333,25.033333333333335,0.5659539464404528,48.0440769849243
abc,47,0.9333333333333333,19.833333333333332,0.32297086676078557,37.992543128005174
lstm,47,2.85,63.35,3.2065489777696037,108.71146826960499
abc,48,5.766666666666667,6.733333333333333,0.9247664835164835,8.384509526501834
lstm,48,2.6166666666666667,3.85,0.39737105487105484,4.86997604374669
abc,49,-3.05,6.016666666666667,-0.0815082643285942,7.813449942247022
lstm,49,1.05,5.516666666666667,0.035422491025728566,7.032069396699666
abc,50,1.5333333333333334,8.9,0.21994138083040335,17.70969602600037
lstm,50,3.3833333333333333,24.716666666666665,0.8090687577030552,40.62121777265341
abc,51,0.6,14.433333333333334,0.11752276624888197,20.707486568871655
lstm,51,-4.5,17.066666666666666,-0.16757459441313177,24.601490469752708
abc,52,-0.38333333333333336,9.183333333333334,-0.054071818602963555,14.323058332632735
lstm,52,-3.7666666666666666,13.466666666666667,-0.2133765934569423,21.393924371185385
abc,53,2.6666666666666665,11.566666666666666,0.6580044760065141,17.586926962946084
lstm,53,-0.11666666666666667,9.683333333333334,0.22429288063571293,17.153716798408443
abc,54,0.5,11.166666666666666,0.048953190550191636,13.921206844235885
lstm,54,1.15,14.583333333333334,-0.021926399564105983,18.323482201808694
abc,55,-0.5666666666666667,8.3,0.11454642228951892,15.605554566670591
lstm,55,0,59.166666666666664,4.375239305397222,96.36804449608802
abc,56,0.08333333333333333,12.183333333333334,-0.16243956810415977,21.836132136133145
lstm,56,1.7,13.233333333333333,0.2988897571852481,22.2830279211182
abc,57,0.6833333333333333,14.916666666666666,0.04738746533273622,19.43064589765353
lstm,57,-0.11666666666666667,6.85,-0.008770644682065636,9.501754224001656
abc,58,-1.6333333333333333,7.966666666666667,-0.14581206561169047,13.56588859357666
lstm,58,3.4166666666666665,20.65,0.30670625129086054,37.07357549522301
abc,59,-2,10.4,0.06482906221779916,14.744490496453244
lstm,59,-7.916666666666667,31.75,0.3601081562370889,39.53247610088023
abc,60,-1.2666666666666666,12.033333333333333,-0.014276130312612177,16.97056274847714
lstm,60,-3.7,37.1,0.24431894915941804,46.264817446233735
abc,61,-0.26666666666666666,9.866666666666667,0.08782260597753562,15.923776771440457
lstm,61,-0.7,12.033333333333333,-0.03837637747544641,19.4961534667739
abc,62,2.8833333333333333,12.783333333333333,-0.084711761916079,17.552302792891116
lstm,62,-7.483333333333333,37.516666666666666,0.5246444386059296,46.70171303068015
abc,63,0.4666666666666667,7.733333333333333,0.1227524703983376,11.32401577768829
lstm,63,-2.2333333333333334,10.466666666666667,-0.029347292214250004,17.03917055884274
